oe,3231,"I, me",pn
lu,2400,to be,v:cp
ke,1314,not,part
a,1261,that (subclause marker),part
nga,1111,you,pn
po,986,"he, she",pn
fwa,888,that (subclause marker),ctr
ulte,873,and (clausal conjunction),conj
alu,848,"that is, in other words",conj
tute,828,person,n
hrh,795,"LOL (""laughing out loud"")",intj
sì,732,and (noun conjunction),part
mì,729,"in, on",adp:len
slä,724,but,conj
tsun,638,"can, be able",v:m
fko,606,"one, they (unspecified agent)",pn
tsa’u,580,that (thing),pn
ma,477,O (vocative marker),part
si,378,(auxiliary verb),v:si
new,337,want,v:tr
taluna,336,because,conj
zene,336,must,v:m
sunu,332,"be pleasing, be likeable, bring enjoyment",v:in
nìtxan,325,"much (abstract), very",adv
nìteng,317,"too, also, as well, likewise",adv
pxay,304,many,adj
fte,298,"so that, in order to",conj
srak,291,yes/no (question marker for yes-or-no questions),part
kelku,277,"home, house",n
fpìl,263,think,v:tr
eyktan,255,leader,n
set,244,now,adv
kaltxì,242,hello,intj
’efu,236,"feel, sense, perceive",v:tr
ne,236,"to, towards (direction)",adp
’u,234,"thing (object, fact, abstraction)",n
lì’u,234,word,n
lahe,228,"other, else",adj
len,224,"happen, occur",v:in
plltxe,222,speak,v:tr
ha,218,"so, in that case",adv
slu,213,become,v:cp
krr,208,time,n
trr,203,day,n
fa,198,"with, by means of",adp
hu,195,with (accompaniment),adp
fìtrr,195,today,adv
srane,195,yes,part
frapo,194,everyone,pn
nì’ul,193,more,adv
kop,191,"too, also, additionally",adv
ta,191,"from (locative), from (temporal sense with other time words)",adp
fu,190,or,conj
txo,186,if,conj
zìsìt,186,year,n
tsakrr,185,"then, at that time, that time",adv
tsakem,182,that (action),n
rel,181,"image, picture",n
uvan,179,play (a game),nv:si
nì’aw,178,only,adv
teri,177,"about, concerning",adp
lefngap,177,metallic,adj
txanlokxe,174,"clan or tribal domain, country",n
tok,172,"be at, occupy a space",v:tr
eltu,168,brain,n
tìkangkem,168,work,nv:si
mip,168,new,adj
olo’eyktan,168,clan leader,n
tam,167,"suffice, be okay",v:in
